User,frequency,Careers_and_Jobs,Tweets_About_Love,Tweets_About_Life_Events,Clubing_and_Dancing,Entertainment_and_Photography,Birthdays_and_Anniversaries,Travelling_around_Singapore,Everyday_Greetings,Cluster
ZanneSusuMoomoo,31,0.0,0.0,2.2706012245753808e-05,0.0,0.0,0.0,0.0,0.0,7
finnyonastick,15,0.0,0.0,2.0442934649030522e-05,0.0,0.0,0.0,0.0,0.0,7
josephng31890,13,1.5487195037941275e-07,0.0,2.2167532894019347e-05,0.0,0.0,0.0,0.0,0.0,7
heyitspika,11,0.0,0.0,2.4383927556164316e-05,0.0,0.0,0.0,0.0,0.0,7
limshxjxxg92737,9,0.0,0.0,2.434122919398195e-05,0.0,0.0,0.0,0.0,0.0,7
iamfrancisg,8,0.0,0.0,2.343866329090245e-05,0.0,0.0,0.0,0.0,0.0,7
cramachandran,8,0.0,0.0,2.0964710489278946e-05,0.0,0.0,0.0,0.0,0.0,7
kamibels,7,0.0,0.0,2.4153869871699883e-05,0.0,0.0,0.0,0.0,0.0,7
hannahfarquharr,7,0.0,0.0,2.1771619302902772e-05,0.0,0.0,0.0,0.0,0.0,7
RenanPacson,7,0.0,0.0,2.2046572237237117e-05,0.0,0.0,0.0,0.0,0.0,7
fullertonhotels,6,0.0,0.0,2.1870354898756774e-05,0.0,0.0,0.0,0.0,0.0,7
vivianpeifang_,6,0.0,0.0,2.237070394846043e-05,0.0,0.0,0.0,0.0,0.0,7
Vqlerie,6,0.0,0.0,2.386563540269122e-05,0.0,0.0,0.0,0.0,0.0,7
edu_Lisa,6,0.0,0.0,2.0907702226974955e-05,0.0,0.0,0.0,0.0,0.0,7
omgrino,6,0.0,0.0,2.440772790453896e-05,0.0,0.0,0.0,0.0,0.0,7
